product_external_key,name,description,brand,material,unit,image_url,category_name
elbow-90,Elbow 90°,"The CPVC 90° Elbow is a high-quality plastic pipe fitting designed to change the direction of fluid flow by 90 degrees in piping systems. Made from Chlorinated Polyvinyl Chloride (CPVC), it offers excellent resistance to heat, corrosion, and chemicals, making it ideal for both residential and industrial applications.These elbows are lightweight, easy to install, and provide a leak-proof connection when used with solvent cement or compatible joining methods.",Ashirvad and Supreme,CPVC (Chlorinated Polyvinyl Chloride),"15mm (½"")",https://drive.google.com/uc?export=view&id=1uOm-PYRgEETMjPJooQshEis9VpH0p2dO,Conduits & Pipes
cpvc-reducing-elbow-90,CPVC Reducing Elbow 90°,A CPVC Reducing Elbow 90° is a pipe fitting used in plumbing systems to change the direction of flow by 90 degrees while reducing the pipe size. It is commonly used in hot and cold water distribution systems.,Ashirvad and Supreme,CPVC (Chlorinated Polyvinyl Chloride),"25mm × 20mm (1"" × ¾"")",https://drive.google.com/uc?export=view&id=1y2q8BmAcO0hPSS_GoO9b-1VZSgxVnEhN,Conduits & Pipes
reducing-mabt-brass,Reducing MABT (Brass),"The image shows a CPVC Reducing MABT (Male Adapter Brass Thread) fitting, commonly used in plumbing systems to connect CPVC pipes of different diameters to threaded metal fittings.",Ashirvad and Supreme,CPVC (Chlorinated Polyvinyl Chloride),"25 mm x 20 mm (1"" x ¾"")",https://drive.google.com/uc?export=view&id=1Hh-X8zfoSfAHXi04XAmFfs_znpzzqun0,Conduits & Pipes
fapt-female-adapter-plastic-thread,FAPT (Female Adapter Plastic Thread),"The FAPT (Female Adapter Plastic Thread) is a CPVC plumbing fitting designed to connect CPVC pipes to threaded components such as metal pipes, valves, or fixtures. It features a female threaded end for secure and easy installation.",Ashirvad and Supreme,CPVC (Chlorinated Polyvinyl Chloride),"15mm (½"")",https://drive.google.com/uc?export=view&id=1WydRqFzmR0wQFLcxlgwt54O_sG40rdB0,Conduits & Pipes
reducing-fabt-brass,Reducing FABT (Brass),"The Reducing FABT (Female Adapter Brass Thread) is a CPVC plumbing fitting used to connect pipes of different sizes while providing a female brass threaded outlet for strong, leak-proof connections with metal or threaded components.",Ashirvad and Supreme,CPVC (Chlorinated Polyvinyl Chloride),"25mm × 20mm (1"" × ¾"")",https://drive.google.com/uc?export=view&id=1IDbfv-ZwniOLSnmVZNN_v__ny6_sQtdX,Conduits & Pipes
cross-tee-cpvc,Cross Tee (CPVC),"The Cross Tee CPVC fitting is manufactured from high-quality chlorinated polyvinyl chloride, ensuring durability and resistance to corrosion, chemicals, and high temperatures. It allows for efficient branching of pipelines in four directions, making it useful in complex plumbing layouts.",Ashirvad and Supreme,CPVC (Chlorinated Polyvinyl Chloride),"20mm (¾"")",https://drive.google.com/uc?export=view&id=1lGXmm1V62_adxOk3Ygb52jwdJsSvlwKE,Conduits & Pipes
tee-brass,Tee (Brass),"The CPVC Tee (Brass) is a three-way plumbing fitting designed to connect pipelines and provide a threaded outlet using a brass insert. It enables branching of water flow while ensuring a strong, leak-proof connection to threaded components such as taps, valves, or metal pipes.",Ashirvad and Supreme,CPVC body with brass threaded insert,"20mm × 20mm × 15mm (¾"" × ¾"" × ½"")",https://drive.google.com/uc?export=view&id=1X-8uWEyL9_WMxG7g3IGnfifVsspeHA1d,Conduits & Pipes
elbow-90-brass,Elbow 90° (Brass),"The Elbow 90° (Brass) is a high-quality CPVC fitting used to change the direction of pipeline flow by 90 degrees while providing a strong brass threaded connection. It combines the durability of CPVC with the strength of a brass insert, ensuring long-lasting, leak-proof performance in plumbing systems.",Ashirvad and Supreme,CPVC body with brass threaded insert,"20mm x 15mm (¾"" x 1¼"")",https://drive.google.com/uc?export=view&id=1WBKKchKwITAM004ZmILBVKaVV5rkPG0C,Conduits & Pipes
tee,TEE,"The CPVC Tee is a three-way plumbing fitting used to connect three pipes, allowing the flow of water to branch off at a 90-degree angle. It is one of the most commonly used fittings in piping systems for distributing water efficiently.",Ashirvad and Supreme,Premium CPVC,"15mm (½"")",https://drive.google.com/uc?export=view&id=17n3uhcJyAYU7h_qMONrWyUW-BFdQD8NO,Conduits & Pipes
threaded-end-plug,Threaded End Plug,"The CPVC Threaded End Plug is a plumbing fitting used to seal the end of a pipeline with a threaded connection. It is designed to securely close pipe ends, preventing leakage and allowing easy removal when needed for maintenance or future expansion.",Ashirvad and Supreme,Premium CPVC,"15mm (½"")",https://drive.google.com/uc?export=view&id=1i3bnSB1w8NjX5xPCDi7IndwgvKyYWJgX,Conduits & Pipes
